search URL:,https://patents.google.com/?q=blockchain&q=block-chain&country=US&status=GRANT
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9679276-B1,"Systems and methods for using a block chain to certify the existence, integrity, and/or ownership of a file or communication ","Stampery, Inc.",Luis Iván Cuende,2016-01-26,2016-01-26,2017-06-13,2017-06-13,https://patents.google.com/patent/US9679276B1/en,https://patentimages.storage.googleapis.com/6e/a0/d3/ea1f17d52d3221/US09679276-20170613-D00000.png
US-9875592-B1,Drone used for authentication and authorization for restricted access via an electronic lock ,International Business Machines Corporation,"Thomas D. Erickson, Kala K. Fleming, Clifford A. Pickover, Komminist Weldemariam",2016-08-30,2016-08-30,2018-01-23,2018-01-23,https://patents.google.com/patent/US9875592B1/en,https://patentimages.storage.googleapis.com/2b/b3/9d/e8cd3a35fe7646/US09875592-20180123-D00000.png
US-9480188-B2,Use of computationally generated thermal energy ,LO3 Energy Inc.,"Lawrence Orsini, Yun Wei",2014-11-04,2015-11-04,2016-10-25,2016-10-25,https://patents.google.com/patent/US9480188B2/en,https://patentimages.storage.googleapis.com/82/68/ea/bf72722934974e/US09480188-20161025-D00000.png
US-9942304-B2,Remote control authority and authentication ,N99 Llc,Steven K. Gold,,2017-09-20,2018-04-10,2018-04-10,https://patents.google.com/patent/US9942304B2/en,https://patentimages.storage.googleapis.com/f1/27/53/a0e753a409b29c/US09942304-20180410-D00000.png
US-9705682-B2,Extending DNSSEC trust chains to objects outside the DNS ,"Verisign, Inc.","Burton S. Kaliski, Jr., Eric Osterweil, Glen Wiley",2015-07-06,2015-12-04,2017-07-11,2017-07-11,https://patents.google.com/patent/US9705682B2/en,https://patentimages.storage.googleapis.com/6c/19/1d/30dda33c6b96ed/US09705682-20170711-D00000.png
US-9014661-B2,Mobile security technology ,Christopher deCharms,Christopher deCharms,2013-05-04,2014-09-03,2015-04-21,2015-04-21,https://patents.google.com/patent/US9014661B2/en,https://patentimages.storage.googleapis.com/f8/39/c0/e63ac4922f7811/US09014661-20150421-D00000.png
US-9705851-B2,Extending DNSSEC trust chains to objects outside the DNS ,"Verisign, Inc.","Burton S. Kaliski, Jr., Eric Osterweil, Glen Wiley",2015-07-06,2015-07-31,2017-07-11,2017-07-11,https://patents.google.com/patent/US9705851B2/en,https://patentimages.storage.googleapis.com/86/7f/87/5e13a8e7d87db0/US09705851-20170711-D00000.png
US-9716595-B1,System and method for internet of things (IOT) security and management ,"T-Central, Inc.","David W. Kravitz, Donald Houston Graham, III, Josselyn L. Boudett, Russell S. Dietz",2010-04-30,2017-03-24,2017-07-25,2017-07-25,https://patents.google.com/patent/US9716595B1/en,https://patentimages.storage.googleapis.com/1e/29/56/74e28619ecdce6/US09716595-20170725-D00000.png
US-9832026-B2,System and method from Internet of Things (IoT) security and management ,"T-Central, Inc.","David W. Kravitz, Donald Houston Graham, III, Josselyn L. Boudett, Russell S. Dietz",2010-04-30,2017-06-13,2017-11-28,2017-11-28,https://patents.google.com/patent/US9832026B2/en,https://patentimages.storage.googleapis.com/04/9b/14/49dbc2738aaf63/US09832026-20171128-D00000.png
US-8453219-B2,Systems and methods of assessing permissions in virtual worlds ,"Brian Shuster, Aaron Burch, Dirk Herling, Gary Shuster","Brian Shuster, Aaron Burch, Dirk Herling, Gary Shuster",2011-08-18,2012-08-20,2013-05-28,2013-05-28,https://patents.google.com/patent/US8453219B2/en,https://patentimages.storage.googleapis.com/f2/64/2d/c5733e7b6783b9/US08453219-20130528-D00000.png
US-9888007-B2,Systems and methods to authenticate users and/or control access made by users on a computer network using identity services ,"Idm Global, Inc.","Jose Caldera, Kieran Sherlock, Garrett Gafke",2016-05-13,2017-03-20,2018-02-06,2018-02-06,https://patents.google.com/patent/US9888007B2/en,https://patentimages.storage.googleapis.com/e2/41/95/9f09465dfa96ca/US09888007-20180206-D00000.png
US-9331856-B1,Systems and methods for validating digital signatures ,Symantec Corporation,Qu Bo Song,2014-02-10,2014-02-10,2016-05-03,2016-05-03,https://patents.google.com/patent/US9331856B1/en,https://patentimages.storage.googleapis.com/36/e8/35/114db385fbe668/US09331856-20160503-D00000.png
US-9411976-B2,Communication system and method ,Maidsafe Foundation,David Irvine,2006-12-01,2014-04-24,2016-08-09,2016-08-09,https://patents.google.com/patent/US9411976B2/en,https://patentimages.storage.googleapis.com/75/dc/2b/c9f3131860f84c/US09411976-20160809-D00000.png
US-9659104-B2,Link association analysis systems and methods ,"Nant Holdings Ip, Llc","Luke Soon-Shiong, Patrick Soon-Shiong",2013-02-25,2014-02-18,2017-05-23,2017-05-23,https://patents.google.com/patent/US9659104B2/en,https://patentimages.storage.googleapis.com/53/0a/d8/285d0d0c8f146a/US09659104-20170523-D00000.png
US-8449378-B2,"Gaming system, gaming device and method for utilizing bitcoins ",Igt,"Richard E. Michaelson, Kehl T. LeSourd",2011-09-13,2011-09-13,2013-05-28,2013-05-28,https://patents.google.com/patent/US8449378B2/en,https://patentimages.storage.googleapis.com/df/b8/fc/e3374b7389f334/US08449378-20130528-D00000.png
US-9853977-B1,"System, method, and program product for processing secure transactions within a cloud computing system ","Winklevoss Ip, Llc","Andrew Laucius, Cem Paya, Eric Winer",2015-01-26,2016-01-26,2017-12-26,2017-12-26,https://patents.google.com/patent/US9853977B1/en,https://patentimages.storage.googleapis.com/01/27/25/217f10449d1d59/US09853977-20171226-D00000.png
US-9311640-B2,Methods and arrangements for smartphone payments and transactions ,Digimarc Corporation,Tomas Filler,2014-02-11,2014-02-13,2016-04-12,2016-04-12,https://patents.google.com/patent/US9311640B2/en,https://patentimages.storage.googleapis.com/e0/7b/c3/bc28fc512ba183/US09311640-20160412-D00000.png
US-9514293-B1,Behavioral profiling method and system to authenticate a user ,United Services Automobile Association,"Karen M. Moritz, Stephen Seyler Aultman, Joseph James Albert Campbell, Debra R. Casillas, Jonathan Edward Neuse, Sara Teresa Alonzo, Thomas Bret Buckingham, Gabriel Carlos Fernandez, Maland Keith Mortensen, Hudson Reid Jameson, Michael Frank Morris",2012-03-20,2015-10-12,2016-12-06,2016-12-06,https://patents.google.com/patent/US9514293B1/en,https://patentimages.storage.googleapis.com/d3/c9/48/8463b8c2bd2260/US09514293-20161206-D00000.png
US-8756156-B1,Online management portal ,"HouseTab, LLC","Patrick G. Campi, Nikolaos Plaitakis, Andrew Tauber",2013-02-27,2014-02-27,2014-06-17,2014-06-17,https://patents.google.com/patent/US8756156B1/en,https://patentimages.storage.googleapis.com/49/f1/c4/58f13a9548d0bc/US08756156-20140617-D00000.png
US-9558524-B2,Risk assessment using social networking data ,Socure Inc.,"Sunil Madhu, Giacomo Pallotti, Edward J. Romano, Alexander K. Chavez",2013-03-15,2016-03-23,2017-01-31,2017-01-31,https://patents.google.com/patent/US9558524B2/en,https://patentimages.storage.googleapis.com/cb/5c/74/9b89e908c3fb12/US09558524-20170131-D00000.png
US-9672499-B2,Data analytic and security mechanism for implementing a hot wallet service ,"Modernity Financial Holdings, Ltd.","Danny Yang, Liqin Kou, Alex Liu",2014-04-02,2014-04-18,2017-06-06,2017-06-06,https://patents.google.com/patent/US9672499B2/en,https://patentimages.storage.googleapis.com/03/97/d6/ac37161eb23331/US09672499-20170606-D00000.png
US-9740906-B2,Wearable device ,"Practech, Inc.","Khalid A. AlNasser, Ibrahim O. AlGwaiz, Mohammad A. AlGassim",2013-07-11,2016-05-26,2017-08-22,2017-08-22,https://patents.google.com/patent/US9740906B2/en,https://patentimages.storage.googleapis.com/dd/ec/e0/47c49e10fe2a1c/US09740906-20170822-D00000.png
US-8523657-B2,"Gaming system, gaming device and method for utilizing bitcoins ",Igt,"Richard E. Michaelson, Kehl T. LeSourd",2011-09-13,2011-09-13,2013-09-03,2013-09-03,https://patents.google.com/patent/US8523657B2/en,https://patentimages.storage.googleapis.com/19/d0/12/12b35710179bed/US08523657-20130903-D00000.png
US-9516035-B1,Behavioral profiling method and system to authenticate a user ,United Services Automobile Association,"Karen M. Moritz, Stephen Seyler Aultman, Joseph James Albert Campbell, Debra R. Casillas, Jonathan Edward Neuse, Sara Teresa Alonzo, Thomas Bret Buckingham, Gabriel Carlos Fernandez, Maland Keith Mortensen",2012-03-20,2015-09-16,2016-12-06,2016-12-06,https://patents.google.com/patent/US9516035B1/en,https://patentimages.storage.googleapis.com/c7/76/16/7a6db02a903329/US09516035-20161206-D00000.png
US-9426151-B2,Determining identity of individuals using authenticators ,Ncluud Corporation,"Ronald F. Richards, Bradley N. Rotter, Pavan K. Muddana",2013-11-01,2014-10-31,2016-08-23,2016-08-23,https://patents.google.com/patent/US9426151B2/en,https://patentimages.storage.googleapis.com/38/42/52/fa5f4b8cec33b6/US09426151-20160823-D00000.png
US-9866545-B2,Credential-free user login to remotely executed applications ,"ALTR Solutions, Inc.",James Douglas Beecham,2015-06-02,2017-08-11,2018-01-09,2018-01-09,https://patents.google.com/patent/US9866545B2/en,https://patentimages.storage.googleapis.com/ca/72/7b/6f8aae3f9912d3/US09866545-20180109-D00000.png
US-9710808-B2,Direct digital cash system and method ,Igor V. SLEPININ,Igor V. SLEPININ,2013-09-16,2014-09-08,2017-07-18,2017-07-18,https://patents.google.com/patent/US9710808B2/en,https://patentimages.storage.googleapis.com/f8/5c/cd/95bd6a79bb41fe/US09710808-20170718-D00000.png
US-9852426-B2,Method and system for secure transactions ,Collective Dynamics LLC,Steven V. Bacastow,2008-02-20,2014-12-23,2017-12-26,2017-12-26,https://patents.google.com/patent/US9852426B2/en,https://patentimages.storage.googleapis.com/b2/ea/e5/cb58ebff137851/US09852426-20171226-D00000.png
US-9934502-B1,Contacts for misdirected payments and user authentication ,"Square, Inc.","Brian Grassadonia, Ayokunle Omojola, Michael Moring, Robert Andersen, Daniele Perito, Kristopher Stipech",2017-01-30,2017-01-30,2018-04-03,2018-04-03,https://patents.google.com/patent/US9934502B1/en,https://patentimages.storage.googleapis.com/3f/40/58/138ffe3ccdb970/US09934502-20180403-D00000.png
